id,informacoes_das_colunas,categoria,explicacao,qualidade,iteracao,technique_used
349c65a2-d766-4a48-b483-6a9cb294722d,"NVT Name: PHP 5.5.x < 5.5.15 Multiple Use After Free Vulnerabilities (Jul 2014) / Summary: PHP is prone to multiple use after free vulnerabilities. / Vulnerability Insight: An use-after-free error exists in the ext/spl/spl_dllist.c
  file in the SPL component. / Impact: Successful exploitation will allow remote attackers to conduct
  denial of service attacks or possibly have some other unspecified impact.",High,"The vulnerability involves a use-after-free error, which can lead to arbitrary code execution or denial of service attacks. This is a serious issue as it allows remote attackers to potentially exploit the system without authentication, making it a high severity vulnerability.",1.0,1,progressive_rectification
af2dc81b-b241-4211-a682-5e21996c8350,"NVT Name: PHP 5.x < 5.4.4 Memory Leak Vulnerability / Summary: PHP is prone to a memory leak vulnerability. / Vulnerability Insight: PHP allows passing invalid utf-8 strings via the
  xmlTextWriterWriteAttribute, which are then misparsed by libxml2. This results in memory leak into
  the resulting output. / Impact: [ausente]",Medium,"The PHP memory leak vulnerability allows for potential exploitation by passing invalid utf-8 strings, leading to a memory leak in the output. While it does not directly impact confidentiality, integrity, or availability, it can lead to increased resource consumption and potentially denial of service attacks if abused repeatedly. However, the attacker would need to have control over the input data, which may require complex conditions or local access.",1.0,1,progressive_rectification
0edcd46d-96d9-4e80-a997-158de2ba41cf,"NVT Name: CPE Inventory / Summary: This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE. / Vulnerability Insight: [ausente] / Impact: [ausente]",Medium,"The vulnerability involves potential duplication of CPE identities for specific products, which could lead to confusion in identifying and addressing security issues. This situation might result in missed or incorrect remediation efforts, posing a moderate impact on the system's integrity.",1.0,1,progressive_rectification
19113fa6-bdda-41a0-9d47-4a9daccf3ee0,"NVT Name: Oracle MySQL Server <= 5.5.51 Security Update (cpuoct2016) - Linux / Summary: Oracle MySQL Server is prone to an unspecified vulnerability. / Vulnerability Insight: The flaw exists due to an unspecified error within the
  'Server:DML' component. / Impact: Successful exploitation of this vulnerability will allow a
  remote authenticated user to cause denial of service conditions.",High,"The vulnerability allows a remote authenticated user to cause denial of service conditions, which falls under the 'High' severity level in CVSSv3. Although the attacker needs authentication, the impact is significant as it can disrupt services, and the attack vector is remote.",1.0,1,progressive_rectification
3069eaec-c3a0-45fc-bd9b-7aad9974df7a,"NVT Name: OS Detection Consolidation and Reporting / Summary: This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum. / Vulnerability Insight: [ausente] / Impact: [ausente]",Medium,"The script consolidates OS information and reports it, potentially exposing sensitive system details. While no immediate exploitation is possible, an attacker could use this information to target specific vulnerabilities in the detected operating systems. The script's potential impact on confidentiality (leaking system details) justifies the Medium severity level.",1.0,1,progressive_rectification
254a8ee3-cf9a-4ecf-8a3d-9377e7216dc8,"NVT Name: PHP < 5.6.18, 7.x < 7.0.3 DoS Vulnerability (Jul 2016) - Linux / Summary: PHP is prone to a denial of service (DoS) vulnerability. / Vulnerability Insight: The flaw is due an improper handling of zero-size
  '././@LongLink' files by 'phar_make_dirstream' function in ext/phar/dirstream.c script. / Impact: Successfully exploiting this issue allow remote attackers to
  cause a denial of service (heap memory corruption) or possibly have unspecified other impact.",Medium,"The vulnerability allows for a Denial of Service (DoS) attack, which can impact the availability of the system. However, it requires specific conditions to be met (zero-size '././@LongLink' files), and it may not necessarily lead to unauthorized access or privilege escalation. Therefore, it is classified as Medium severity.",1.0,1,progressive_rectification
74c4b3f0-eac6-4941-a7a4-ccc3deeb4637,"NVT Name: jQuery 1.2 < 3.5.0 XSS Vulnerability / Summary: jQuery is prone to a cross-site scripting (XSS) vulnerability in
  jQuery.htmlPrefilter and related methods. / Vulnerability Insight: Passing HTML from untrusted sources - even after sanitizing it -
  to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute
  untrusted code. / Impact: [ausente]",Medium,"The jQuery XSS vulnerability allows untrusted code execution when passing HTML from untrusted sources to one of jQuery's DOM manipulation methods. While it requires user interaction (e.g., clicking a malicious link or visiting a compromised website) for exploitation, the potential impact on confidentiality and integrity is moderate due to the ability to inject malicious scripts into web pages. However, since version 3.5.0 of jQuery has addressed this issue, it's important to ensure that affected versions are not in use and updated accordingly.",1.0,1,progressive_rectification
545c27c7-e8b0-4a08-b064-ac8664187f87,"NVT Name: PHP < 7.2.29 Multiple Vulnerabilities (Mar 2020) - Linux / Summary: PHP is prone to multiple vulnerabilities. / Vulnerability Insight: PHP is prone to multiple vulnerabilities:

  - Use-of-uninitialized-value in exif (CVE-2020-7064)

  - get_headers() silently truncates after a null byte (CVE-2020-7066) / Impact: [ausente]",Medium,"The use-of-uninitialized-value in exif (CVE-2020-7064) and get_headers() silently truncates after a null byte (CVE-2020-7066) vulnerabilities could potentially allow an attacker to execute arbitrary code or cause denial of service, depending on the specific context. However, they require certain conditions to be met, such as having control over the input data or access to the affected PHP instance. This makes the overall impact moderate and the required privileges higher than low severity level, but lower than high severity level.",1.0,1,progressive_rectification
bfa8c31d-a7cf-47c3-9cab-d606b4eaef91,"NVT Name: Elasticsearch End of Life (EOL) Detection / Summary: The Elasticsearch version on the remote host has reached
  the End of Life (EOL) and should not be used anymore. / Vulnerability Insight: [ausente] / Impact: An EOL version of Elasticsearch is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.",High,"An EOL version of Elasticsearch is not receiving any security updates, leaving it vulnerable to unfixed security vulnerabilities. This could potentially be exploited by an attacker to compromise the host's security, making it a high severity issue due to its significant impact and remotely exploitable nature.",1.0,1,progressive_rectification
75b447f8-5189-4ab9-aa9a-31bf0e935573,"NVT Name: PHP CVE-2019-13224 Use-After-Free Vulnerability - Linux / Summary: PHP is prone to a use-after-free vulnerability in a used
  third-pary library. / Vulnerability Insight: The flaw exists due to a use-after-free in onig_new_deluxe()
  in regext.c of the third-party library Oniguruma 6.9.2 which is used by PHP.

  The attacker provides a pair of a regex pattern and a string, with a multi-byte encoding that gets
  handled by onig_new_deluxe(). / Impact: This flaw allows attackers to potentially cause information
  disclosure, denial of service, or possibly code execution by providing a crafted regular
  expression.",High,"The vulnerability is a use-after-free issue in a third-party library used by PHP, which can potentially lead to information disclosure, denial of service, or even code execution. This vulnerability allows an attacker to provide crafted regular expressions for exploitation, making it remotely exploitable and requiring no authentication. Therefore, the severity level is classified as High (CVSS 7.0–8.9).",1.0,1,progressive_rectification
627565e5-1906-4239-80c3-23764b13fd6e,"NVT Name: Traceroute / Summary: Collect information about the network route and
  network distance between the scanner host and the target host. / Vulnerability Insight: For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more. / Impact: [ausente]",Low,"The described vulnerability allows for network traceroute, which is a diagnostic tool and does not inherently pose a direct threat to confidentiality, integrity, or availability. While it could potentially be used for reconnaissance purposes, it requires manual intervention and does not allow for remote code execution or privilege escalation. Therefore, the severity level is classified as Low.",1.0,1,progressive_rectification
5df0dfca-ed89-4e31-af23-b51b57ab8ef6,"NVT Name: PHP < 5.5.32, 5.6.x < 5.6.18, 7.x < 7.0.3 Privilege Escalation Vulnerability - Linux / Summary: PHP is prone to a privilege escalation vulnerability. / Vulnerability Insight: An error occurs in the function stream_get_meta_data of the
  component File Upload. The manipulation as part of a Return Value leads to a privilege escalation
  vulnerability (Metadata). / Impact: Successfully exploitation will allow an attacker to update the
  'metadata' and affect on confidentiality, integrity, and availability.",Medium,"The vulnerability allows an attacker to manipulate metadata, which can impact confidentiality, integrity, and availability. However, it requires local access and a specific error in the PHP function stream_get_meta_data of the File Upload component. This makes it less severe than high or critical categories as remote exploitation is not possible without additional conditions.",1.0,1,progressive_rectification
49540816-7a14-4314-aac3-27ce9052367d,"NVT Name: SSH Brute Force Logins With Default Credentials Reporting / Summary: It was possible to login into the remote SSH server using
  default credentials. / Vulnerability Insight: As the VT 'SSH Brute Force Logins With Default Credentials'
  (OID: 1.3.6.1.4.1.25623.1.0.108013) might run into a timeout the actual reporting of this
  vulnerability takes place in this VT instead. / Impact: This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.",Medium,"The vulnerability allows an attacker to gain unauthorized access to a system, which could potentially lead to sensitive information disclosure or system configuration modification. Although default credentials are involved, it's not clear if the attack vector is remote or requires complex conditions. However, given the potential impact, it falls under the Medium severity level.",1.0,1,progressive_rectification
aac4c5ac-20ee-443c-8e66-eb3c2c540ddb,"NVT Name: Apache HTTP Server Man-in-the-Middle Attack Vulnerability (Jul 2016) - Linux / Summary: Apache HTTP Server is prone to a man-in-the-middle attack vulnerability. / Vulnerability Insight: The flaw is due to 'CGI Servlet' does not
  protect applications from the presence of untrusted client data in the
  'HTTP_PROXY' environment variable. / Impact: Successful exploitation will allow remote
  attackers to redirect an application's outbound HTTP traffic to an arbitrary
  proxy server via a crafted proxy header in an HTTP request.",High,"The vulnerability allows a remote attacker to redirect an application's outbound HTTP traffic to an arbitrary proxy server via a crafted proxy header in an HTTP request. This could potentially lead to significant impact, including data exfiltration, manipulation of data in transit, and denial of service if the redirected traffic is critical for the application's functionality. The attacker does not require any authentication or complex conditions to exploit this vulnerability, making it a high severity issue.",1.0,1,progressive_rectification
